n_samples,feature,precision,recall,fbeta
409,workclass,0.782608695652174,0.6428571428571429,0.7058823529411765
4495,workclass,0.7578027465667915,0.6257731958762887,0.6854884246188594
363,workclass,0.5714285714285714,0.35294117647058826,0.43636363636363634
259,workclass,0.75,0.6891891891891891,0.7183098591549296
539,workclass,0.7433628318584071,0.535031847133758,0.6222222222222221
242,workclass,0.7931034482758621,0.8041958041958042,0.7986111111111112
203,workclass,0.7613636363636364,0.8589743589743589,0.8072289156626505
3,workclass,1.0,1.0,1.0
n_samples,feature,precision,recall,fbeta
234,education,0.9,0.45,0.6
1034,education,0.7579185520361991,0.7938388625592417,0.775462962962963
1513,education,0.6666666666666666,0.5150501672240803,0.5811320754716981
87,education,0.7846153846153846,0.8225806451612904,0.8031496062992126
2070,education,0.7719298245614035,0.3848396501457726,0.5136186770428016
136,education,1.0,0.4,0.5714285714285715
356,education,0.8153846153846154,0.8368421052631579,0.825974025974026
123,education,0.9285714285714286,0.9479166666666666,0.9381443298969072
72,education,1.0,0.5,0.6666666666666666
189,education,0.7142857142857143,0.6666666666666666,0.689655172413793
185,education,1.0,0.2222222222222222,0.3636363636363636
283,education,0.6190476190476191,0.6290322580645161,0.6240000000000001
87,education,0.25,0.25,0.25
102,education,1.0,0.14285714285714285,0.25
34,education,1.0,0.5,0.6666666666666666
8,education,1.0,1.0,1.0
n_samples,feature,precision,recall,fbeta
2105,marital-status,0.8297872340425532,0.45348837209302323,0.5864661654135338
3011,marital-status,0.7516501650165016,0.6793437733035048,0.7136701919310614
870,marital-status,0.8301886792452831,0.42718446601941745,0.5641025641025641
220,marital-status,1.0,0.3333333333333333,0.5
220,marital-status,0.8181818181818182,0.42857142857142855,0.5625
86,marital-status,1.0,0.2857142857142857,0.4444444444444445
1,marital-status,1.0,0.0,0.0
n_samples,feature,precision,recall,fbeta
129,occupation,0.7419354838709677,0.5227272727272727,0.6133333333333333
767,occupation,0.7526881720430108,0.7629427792915532,0.7577807848443844
853,occupation,0.7945544554455446,0.8316062176165803,0.8126582278481014
363,occupation,0.5714285714285714,0.35294117647058826,0.43636363636363634
735,occupation,0.7228915662650602,0.6153846153846154,0.6648199445983379
779,occupation,0.75,0.46788990825688076,0.576271186440678
675,occupation,0.5,0.23333333333333334,0.3181818181818182
333,occupation,0.75,0.3333333333333333,0.46153846153846156
819,occupation,0.7580645161290323,0.5053763440860215,0.6064516129032258
258,occupation,0.625,0.3125,0.4166666666666667
190,occupation,0.7833333333333333,0.7230769230769231,0.752
204,occupation,0.8,0.36363636363636365,0.5000000000000001
377,occupation,0.8636363636363636,0.37254901960784315,0.5205479452054794
31,occupation,1.0,1.0,1.0
n_samples,feature,precision,recall,fbeta
997,relationship,0.875,0.4375,0.5833333333333334
316,relationship,0.7154471544715447,0.5641025641025641,0.6308243727598566
1696,relationship,0.8043478260869565,0.4805194805194805,0.6016260162601625
2647,relationship,0.7571560480147738,0.6955046649703138,0.7250221043324491
662,relationship,0.8421052631578947,0.2962962962962963,0.4383561643835616
195,relationship,1.0,0.3333333333333333,0.5
n_samples,feature,precision,recall,fbeta
5567,race,0.7645134914145544,0.6497567755385685,0.7024793388429752
606,race,0.6964285714285714,0.6,0.6446280991735538
224,race,0.6666666666666666,0.5185185185185185,0.5833333333333334
53,race,0.75,0.75,0.75
63,race,1.0,0.5,0.6666666666666666
n_samples,feature,precision,recall,fbeta
4350,sex,0.7601031814273431,0.6681783824640968,0.7111826226870476
2163,sex,0.7515151515151515,0.5061224489795918,0.6048780487804878
n_samples,feature,precision,recall,fbeta
5797,native-country,0.7553719008264462,0.6427566807313643,0.6945288753799391
24,native-country,0.8,0.8,0.8000000000000002
15,native-country,1.0,0.25,0.4
135,native-country,0.8928571428571429,0.6410256410256411,0.746268656716418
22,native-country,1.0,1.0,1.0
9,native-country,1.0,1.0,1.0
22,native-country,0.625,0.5,0.5555555555555556
133,native-country,0.8333333333333334,0.625,0.7142857142857143
52,native-country,0.875,0.5384615384615384,0.6666666666666667
6,native-country,1.0,1.0,1.0
14,native-country,1.0,1.0,1.0
20,native-country,0.6666666666666666,1.0,0.8
16,native-country,1.0,0.7777777777777778,0.8750000000000001
8,native-country,0.0,1.0,0.0
16,native-country,1.0,1.0,1.0
16,native-country,1.0,1.0,1.0
13,native-country,0.7142857142857143,0.8333333333333334,0.7692307692307692
7,native-country,1.0,1.0,1.0
4,native-country,1.0,1.0,1.0
2,native-country,1.0,1.0,1.0
11,native-country,0.6666666666666666,0.6666666666666666,0.6666666666666666
4,native-country,1.0,1.0,1.0
22,native-country,1.0,0.6666666666666666,0.8
28,native-country,0.6363636363636364,0.7,0.6666666666666666
8,native-country,0.5,0.5,0.5
3,native-country,1.0,0.0,0.0
10,native-country,0.75,0.75,0.75
7,native-country,1.0,1.0,1.0
9,native-country,0.0,0.0,0.0
2,native-country,1.0,1.0,1.0
26,native-country,0.0,0.0,0.0
7,native-country,1.0,1.0,1.0
12,native-country,1.0,1.0,1.0
6,native-country,1.0,0.0,0.0
2,native-country,1.0,1.0,1.0
5,native-country,1.0,1.0,1.0
4,native-country,1.0,0.0,0.0
4,native-country,1.0,0.0,0.0
5,native-country,0.0,1.0,0.0
4,native-country,1.0,1.0,1.0
3,native-country,1.0,1.0,1.0
